Trans. Date,Post Date,Location Reference/Description,Transaction Total
VISA(R) Platinum Rewards Ending Point Balance: 12,,,
8/1,8/4,"ATM0098 1224 JONES RD, HOUSTON, TX, 7425612ZJF6JW2BKA",-$304.00
8/1,8/5,"POS6680 TARGET T2066 W, HOUSTON, TX, 24251312ZJF6JW2QK",-$528.12
8/11,8/15,"STARBUCKS CORP00064139, SPRING, TX, 24161312ZJF6JW2QJE",-$639.56
VISA(R) Platinum Check Card (....9999) Subtotal,,,"-$1,471.68"
8/3,8/6,"ATM0213 1224 TOWN CEN, HOUSTON, TX, 9842312ZJF6JW2ZAD",-$203.00
8/5,8/10,"BEST DONUTS, SPRING, TX, 5465542KDS620ASD",-6.03
8/11,8/15,"MARSHALLS #0606, THE WOODLANDS, TX, 16510SKJF361321DDS",-86.58
VISA(R) Gold Check Card (....8888) Subtotal,,,-$122.45
Total Debit Card Activity,,,"-$1,594.13"
