,This Period,Year-to-Date
Beginning Core Account Balance,"$1,570.57",$794.51
INVESTMENT ACTIVITY,,
Securities Bought,,"-15,000.00"
Securities Sold,,"11,278.12"
"Dividends, Interest and Other Income*",500.31,"7,020.49"
Transaction Costs,,-230.74
Other Activity,,500.00
Total Investment Activity,$500.31,"$3,567.87"
CASH MANAGEMENT ACTIVITY,,
Contributions,,"5,000.00"
Distributions,,"-4,065.21"
Taxes Withheld,,"-1,016.30"
Checking Activity,,"-1,258.12"
Debit Card Activity,,-125.12
Deferred Debit Card Activity,,-275.89
Bill Payments,,-400.00
Fees & Charges,,-112.13
Total Cash Management Activity,,"-$2,522.77"
Ending Core Account Balance,"$2,070.88","$2,070.88"
Taxable Dividends Interest Short-term Capital Gains Long-term Capital Gains Tax-exempt Dividends Interest,,
Tax-deferred Tax-free Return of Capital Liquidations Royalty Trust Payments,$500.31,"$7,020.49"
Total,$500.31,"$7,020.49"
