Trade Date,Settle Date,Transaction Closing Method,Description,Quantity,Price,Cost,Proceeds,Cost Basis,Realized Gain/Loss,
09 Mar 2021,09 Mar 2021,REINVEST,JOHNSON & JOHNSON REINVEST @ 158.537891 Symbol: JNJ,1.27414,,(202.00),,,,
10 Mar 2021,10 Mar 2021,REINVEST,INTERNATIONAL BUSINESS MACHINES CORP REINVEST @ 126.054312 Symbol: IBM,3.67926,,(489.00),,,,
29 Mar 2021,31 Mar 2021,BUY,AMBEV S A ADR UNSOLICITED AND PRICE SHOWN DETAILS ON REG ROME. W/HPANYAA2102030674 Symbol: ABEV,"10,000",2.65,"(26,500.00)",,,,
29 Mar 2021,31 Mar 2021,BUY,COCA COLA COMPANY (THE) UNSOLICITED Symbol: KO,"1,000",52.736,"(52,736.00)",,,,
29 Mar 2021,31 Mar 2021,BUY,CVS HEALTH CORPORATION UNSOLICITED Symbol: CVS,"1,000",75.7,"(75,700.00)",,,,
29 Mar 2021,31 Mar 2021,BUY,DOMINION ENERGY INC COMMON STOCK UNSOLICITED Symbol: D,"1,000",75.68,"(75,680.00)",,,,
29 Mar 2021,31 Mar 2021,BUY,ENERGY TRANSFER LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS UNSOLICITED Symbol: ET,"2,000",7.9,"(15,800.00)",,,,
29 Mar 2021,31 Mar 2021,SELL FIFO,ION ACQUISITION CORP 1 LTD CLASS A ORDINARY SHARES UNSOLICITED ST LOSS 5986.11 Symbol: IACA,"(2,000.0)",10.212,,"20,423.89","26,410.00","(5,986.11)",
29 Mar 2021,31 Mar 2021,BUY,ROCHE HOLDING LTD SPONSORED ADR REPSTG ORD UNSOLICITED Symbol: RHHBY,"1,000",40.37,"(40,370.00)",,,,
Total Securities Bought & Sold,,,,,,"($286,786.00)","$20,423.89",,,
Total Other Investment Activity,,,,,,,,,($691.00),
TOTAL TRADE AND INVESTMENT ACTIVITY,,,,,,,"($287,477.00)","$20,423.89",,
