Description,Acquisition Date,Quantity,Price,Market Value,Unit Cost,Cost Basis,Unrealized Gain/Loss,Est. Accrued Inc.,Est. Annual Inc.
CASH & SWEEP FUNDS,,,,,,,,,
CHASE DEPOSIT SWEEP JPMORGAN CHASE BANK NA EST. 30 DAY AVG YIELD: LDT5 APPLICABLE LIMITS MAY APPLY. NOT FDIC INSURED. NOT COVERED BY SIPC. Symbol: QACDS,,"900,226.92",,"900,226.92",,,,,
TOTAL CASH & SWEEP FUNDS EQUITIES,,,,"$900,226.92",,,,,
AMAZON.COM INC Dividend Reinvested Symbol: AMZN,03 Feb 2021,30,"3,094.08","92,822.40","3,394.36","101,830.90","(9,008.50)",,
AMBEV S A ADS EST YIELD: 2.97% Symbol: ABEV,29 Mar 2021,"10,000",2.74,"27,400.00",2.65,"26,500.00",900.00,,813.60
ANHEUSER-BUSCH INBEV SA SPONSORED ADR Dividend Reinvested EST YIELD: 1.71% Symbol: BUD,01 Feb 2021,300,62.85,"18,855.00",64.38,"19,314.00",(459.00),,322.20
CARNIVAL CORP COMMON PARSED STOCK Dividend Reinvested Symbol: CCL,22 Feb 2021,"3,500",26.54,"92,890.00",25.11,"87,885.00","5,005.00",,
COCA COLA COMPANY (THE) Dividend Reinvested EST YIELD: 3.19% Symbol: KO,29 Mar 2021,"1,000",52.71,"52,710.00",52.74,"52,736.00",(26.00),,"1,680.00"
COMCAST CORP CLASS A CLA Dividend Reinvested EST YIELD: 1.85% Symbol: CMCSA,,3.80451,54.11,205.86,43.05,163.77,42.09,,3.80
CVS HEALTH CORPORATION Dividend Reinvested EST YIELD: 2.86% Symbol: CVS,29 Mar 2021,"1,000",75.23,"75,230.00",75.70,"75,700.00",(470.00),,"2,000.00"
DOMINION ENERGY INC COMMON STOCK Dividend Reinvested EST YIELD: 3.32% Symbol: D,29 Mar 2021,"1,000",75.96,"75,960.00",75.68,"75,680.00",280.00,,"2,520.00"
ENERGY TRANSFER LP COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS Dividend Reinvested EST YIELD: 6.24% Symbol: ET,29 Mar 2021,"2,000",7.88,"15,360.00",7.9,"15,800.00",(440.00),,"1,220.00"
FIFTH THIRD BANCORP Dividend Reinvested EST YIELD: 2.98% Symbol: FITB,,500,37.45,"18,725.00",29.03,"14,513.40","4,211.60",,540.00
FORTRESS VALUE ACQUISITION CORP II CLASS A COMMON STOCK Symbol: FVAII,02 Feb 2021,"1,000",9.97,"9,970.00",11.78,"11,780.00","(1,810.00)",--,--
GLOBAL X FDS GLOBAL X CANNABIS ETF EST YIELD: 3.3% Symbol: POTX,10 Feb 2021,300,16.05,"4,815.00",28.11,"8,433.00","(3,618.00)",,162.30
INGREDION INC CORP Dividend Reinvested EST YIELD: 2.85% Symbol: INGR,22 Feb 2021,600,89.92,"53,952.00",87,"52,200.00","1,752.00",,"1,536.00"
INTERNATIONAL BUSINESS MACHINES CORP Dividend Reinvested EST YIELD: 4.69% Symbol: IBM,,303.67926,133.26,"40,494.95",119.88,"36,429.00","4,065.95",,"1,981.29"
JOHNSON & JOHNSON Dividend Reinvested EST YIELD: 2.49% Symbol: JNJ,,201.27414,164.35,"33,078.40",165.01,"33,212.00",(132.80),,813.15
MERCK & CO INC Dividend Reinvested EST YIELD: 3.37% Symbol: MRK,01 Feb 2021,300,77.09,"23,127.00",77.69,"23,307.00",(180.00),,780.00
PFIZER INC Dividend Reinvested EST YIELD: 4.31% Symbol: PFE,22 Feb 2021,"1,500",36.23,"54,345.00",34.34,"51,510.00","2,835.00",,"2,340.00"
PHILLIPS 66 PARTNERS LP COMMON UNIT REPR LTD PARTNERSHIP INT Dividend Reinvested EST YIELD: 11.05% Symbol: PSXP,01 Feb 2021,800,31.67,"25,336.00",25.29,"20,232.00","5,104.00",,"2,800.00"
ROCHE HOLDING LTD SPONSORED ADR REPSTG ORD EST YIELD: 0.01% Symbol: RHHBY,29 Mar 2021,"1,000",40.56,"40,560.00",40.37,"40,370.00",190.00,,773.00
TOTAL EQUITIES,,,,"$755,837.61",,"$747,596.07","$8,241.54",,"$20,285.34"
